Time,nSpikesPerBurstIn10s_20190603_slice2,phaseNumber_20190603_slice2,nSpikesPerBurstIn10s_20190603_slice3,phaseNumber_20190603_slice3,nSpikesPerBurstIn10s_20190603_slice6,phaseNumber_20190603_slice6,nSpikesPerBurstIn10s_20190605_slice3,phaseNumber_20190605_slice3,nSpikesPerBurstIn10s_20190605_slice4,phaseNumber_20190605_slice4,nSpikesPerBurstIn10s_20190606_slice5,phaseNumber_20190606_slice5,nSpikesPerBurstIn10s_20190606_slice7,phaseNumber_20190606_slice7
-20 min,6.16666666666667,1,17.9090909090909,1,12.125,1,13.5714285714286,1,30.1333333333333,1,13.0454545454545,1,8.75,1
-19 min,7.08333333333333,1,16.125,1,11.25,1,12.8181818181818,1,28.8709677419355,1,13.3333333333333,1,13.5,1
-18 min,6.35714285714286,1,17.1363636363636,1,12.5454545454545,1,11.2631578947368,1,24.9310344827586,1,11.4814814814815,1,13.3181818181818,1
-17 min,8.38461538461539,1,14,1,8.11764705882353,1,12.6111111111111,1,18.1794871794872,1,18.5294117647059,1,10.2222222222222,1
-16 min,7.92857142857143,1,14.5,1,14,1,16.5909090909091,1,30.2173913043478,1,18.9375,1,14.7368421052632,1
-15 min,10.3571428571429,1,18,1,8.63636363636364,1,18.9444444444444,1,33.8695652173913,1,15.8636363636364,1,9.35,1
-14 min,11.9166666666667,1,13.875,1,12.375,1,17.25,1,23.6486486486486,1,14.2083333333333,1,9.09523809523809,1
-13 min,13.1666666666667,1,10.7777777777778,1,12.375,1,5.5,1,18.0212765957447,1,16.9444444444444,1,13.1052631578947,1
-12 min,11.5,1,13.75,1,10.1818181818182,1,21.64,1,24.2,1,15.55,1,14.2857142857143,1
-11 min,16.0909090909091,1,17.5263157894737,1,10.1818181818182,1,25.1578947368421,1,28.1785714285714,1,15.2916666666667,1,13.4782608695652,1
-10 min,21.4444444444444,1,13.0740740740741,1,11.625,1,20.4166666666667,1,33.5,1,22.9411764705882,1,13.2857142857143,1
-9 min,13.5833333333333,1,17.047619047619,1,12.3333333333333,1,18.0769230769231,1,25.7307692307692,1,16.8823529411765,1,8.93333333333333,1
-8 min,15.5833333333333,1,17.9411764705882,1,8.5,1,21.4782608695652,1,29.7931034482759,1,17,1,8.86363636363636,1
-7 min,13.125,1,12.36,1,9.45454545454546,1,16.4666666666667,1,29.0434782608696,1,21.8666666666667,1,11.0606060606061,1
-6 min,12.8125,1,14.8823529411765,1,8.90909090909091,1,19.1363636363636,1,24.1111111111111,1,16.2941176470588,1,14,1
-5 min,10.9411764705882,1,15.6666666666667,1,14,1,22,1,24.1481481481481,1,16.9444444444444,1,9.15,1
-4 min,22.1,1,15.5555555555556,1,10.6,1,19.4814814814815,1,33.9583333333333,1,16.3809523809524,1,14.9,1
-3 min,18.3636363636364,1,11.8823529411765,1,13.875,1,23.75,1,35.36,1,18.4705882352941,1,10.3181818181818,1
-2 min,15.9285714285714,1,13.4210526315789,1,8.16666666666667,1,20.5384615384615,1,29.28,1,16.2083333333333,1,11.88,1
-1 min,15.8571428571429,1,10.8636363636364,1,12,1,17.8095238095238,1,27.9642857142857,1,18.6470588235294,1,9.73684210526316,1
0 min,15,2,8.90909090909091,2,11.8,2,15.9655172413793,2,24.3703703703704,2,18.6315789473684,2,13.125,2
1 min,15.1538461538462,2,13.1904761904762,2,15.2222222222222,2,18.84375,2,21.4285714285714,2,16.08,2,10.5555555555556,2
2 min,14.5714285714286,2,20.6153846153846,2,10.3,2,19.6521739130435,2,30.2608695652174,2,13.84,2,10.65,2
3 min,13.375,2,11.3478260869565,2,11.1666666666667,2,19.9230769230769,2,29.8695652173913,2,18.2941176470588,2,10.5,2
4 min,19.0833333333333,2,11.6818181818182,2,8.28571428571429,2,18.5909090909091,2,27.8275862068966,2,17.8125,2,13.7368421052632,2
5 min,11.1904761904762,2,8.03333333333333,2,10.5555555555556,2,23.2272727272727,2,18.8055555555556,2,20.5333333333333,2,10.9583333333333,2
6 min,19.75,2,12.2272727272727,2,7.27777777777778,2,27.1764705882353,2,28.1290322580645,2,20.4117647058824,2,15.2222222222222,2
7 min,12.6666666666667,2,11,2,12.1,2,18.2,2,28.2142857142857,2,17.6190476190476,2,9.14285714285714,2
8 min,15.9285714285714,2,14.1304347826087,2,8.53846153846154,2,22.7619047619048,2,34.3478260869565,2,18.2105263157895,2,14.4210526315789,2
9 min,20.25,2,11.96,2,9.90909090909091,2,16.4814814814815,2,29.6470588235294,2,17.5,2,10.2,2
10 min,16.3076923076923,2,15.7222222222222,2,8.08333333333333,2,20.2083333333333,2,21.2727272727273,2,18.5,2,14.7222222222222,2
11 min,16.9285714285714,2,11.1363636363636,2,10.8181818181818,2,23.047619047619,2,36.1363636363636,2,21.7777777777778,2,11.125,2
12 min,18.6923076923077,2,12.3,2,12.3333333333333,2,18.9130434782609,2,33.4,2,17.304347826087,2,11.8571428571429,2
13 min,11.25,2,17.5,2,8.91666666666667,2,16.5294117647059,2,30.037037037037,2,18.5294117647059,2,11.28,2
14 min,21.1666666666667,2,12.6842105263158,2,13.75,2,24.5333333333333,2,26.4516129032258,2,18.8,2,14.1428571428571,2
15 min,18.7857142857143,2,12,2,11.0909090909091,2,25,2,29.8518518518519,2,24.2222222222222,2,11.8888888888889,2
16 min,14.8666666666667,2,13.7142857142857,2,11.8888888888889,2,18.625,2,34.4782608695652,2,13.0689655172414,2,8.85714285714286,2
17 min,18.3846153846154,2,11.375,2,14.1428571428571,2,19.48,2,17.2142857142857,2,20.3478260869565,2,10.7272727272727,2
18 min,24.1,2,13.35,2,8.5,2,22.8,2,27.04,2,18.96,2,11.1,2
19 min,20.0769230769231,2,12.6363636363636,2,8.125,2,16.5,2,21.9393939393939,2,17.5263157894737,2,10,2
20 min,20,2,13.7826086956522,2,10.4166666666667,2,23.9565217391304,2,32.25,2,19.9130434782609,2,17.4666666666667,2
21 min,31.7777777777778,2,9.5625,2,9.69230769230769,2,18.6086956521739,2,29.2068965517241,2,19.6842105263158,2,9.47619047619048,2
22 min,27.9090909090909,2,10.9655172413793,2,6.6875,2,17.75,2,32.2,2,17.7142857142857,2,10.35,2
23 min,28.8181818181818,2,10.8181818181818,2,11.9090909090909,2,18.85,2,25.7241379310345,2,18.6315789473684,2,11.8636363636364,2
24 min,31.6,2,10.7407407407407,2,10.5,2,18.64,2,31.1363636363636,2,17.5454545454545,2,15.047619047619,2
25 min,29.4444444444444,2,11.5217391304348,2,11.8888888888889,2,15.5,2,28.0384615384615,2,18.6470588235294,2,9.27272727272727,2
26 min,26,2,11,2,16.4285714285714,2,11.030303030303,2,37.4761904761905,2,14.448275862069,2,10.1923076923077,2
27 min,20.8571428571429,2,12.1578947368421,2,8.90909090909091,2,12.96875,2,43.8333333333333,2,22,2,13.75,2
28 min,31.1,2,9.5,2,11.4545454545455,2,21.4,2,34.75,2,18.2857142857143,2,12.4814814814815,2
29 min,29.1,2,12.6153846153846,2,11.4,2,23.952380952381,2,42.0526315789474,2,22.0526315789474,2,8.06451612903226,2
30 min,29.5454545454545,3,11.5416666666667,3,10,3,25.6190476190476,3,30.2962962962963,3,24.6470588235294,3,10.71875,3
31 min,19.6666666666667,3,7.96551724137931,3,11.8,3,21.2105263157895,3,10.1428571428571,3,21.5,3,17.6086956521739,3
32 min,25.0833333333333,3,8.25806451612903,3,17.5714285714286,3,23.625,3,41.1052631578947,3,20.1052631578947,3,15.4583333333333,3
33 min,28.0909090909091,3,10.4583333333333,3,10.2,3,32.9230769230769,3,38.3,3,17.5217391304348,3,10.8823529411765,3
34 min,21.4285714285714,3,9.38095238095238,3,11.3333333333333,3,18.8571428571429,3,29.6666666666667,3,19.6521739130435,3,17.4210526315789,3
35 min,27.0909090909091,3,10.25,3,9.63636363636364,3,3.15789473684211,3,34.2727272727273,3,22.4736842105263,3,30.4615384615385,3
36 min,35.6666666666667,3,10.5357142857143,3,10.3,3,11.6666666666667,3,37.1578947368421,3,24.8,3,20.5625,3
37 min,20.9333333333333,3,9.14285714285714,3,12.75,3,11.1666666666667,3,25.8965517241379,3,17.2083333333333,3,17.7894736842105,3
38 min,28.2727272727273,3,10.25,3,10.3,3,20.3333333333333,3,24.8571428571429,3,21.5789473684211,3,13.5555555555556,3
39 min,28.0909090909091,3,14.3333333333333,3,9.81818181818182,3,16.45,3,26.6153846153846,3,17.4583333333333,3,11.12,3
40 min,15.5555555555556,3,11.4,3,12.3,3,24.55,3,24.5555555555556,3,20.4210526315789,3,8.2258064516129,3
41 min,25.7692307692308,3,9.76190476190476,3,26,3,26.2727272727273,3,24.4583333333333,3,19.7222222222222,3,8.12903225806452,3
42 min,28.0909090909091,3,7.59090909090909,3,13.2,3,17.5357142857143,3,NaN,3,23.2777777777778,3,10.1538461538462,3
43 min,28.3333333333333,3,14,3,9.72727272727273,3,28.2777777777778,3,7.6,3,20.0869565217391,3,10.5333333333333,3
44 min,21.4666666666667,3,9.86363636363636,3,13.8888888888889,3,25.3529411764706,3,20.8,3,21.4117647058824,3,12.0689655172414,3
45 min,32.7272727272727,3,7.80645161290323,3,10.4,3,25.9090909090909,3,24.5,3,16.88,3,9.77777777777778,3
46 min,29,3,10,3,13.5714285714286,3,26.9473684210526,3,14.4705882352941,3,20,3,11.6,3
47 min,33.1111111111111,3,8.30434782608696,3,16.875,3,23.5714285714286,3,27.4814814814815,3,17.75,3,12.0689655172414,3
48 min,25.8571428571429,3,12,3,28.25,3,26,3,30.5185185185185,3,23.8333333333333,3,12.2916666666667,3
49 min,29.5833333333333,3,9.05263157894737,3,9.30769230769231,3,21.2222222222222,3,24.5142857142857,3,18.3478260869565,3,8.59375,3
