Time,nBurstsInOsc_20190603_slice7,phaseNumber_20190603_slice7,nBurstsInOsc_20190603_slice9,phaseNumber_20190603_slice9,nBurstsInOsc_20190604_slice2,phaseNumber_20190604_slice2,nBurstsInOsc_20190604_slice3,phaseNumber_20190604_slice3,nBurstsInOsc_20190604_slice4,phaseNumber_20190604_slice4,nBurstsInOsc_20190604_slice7,phaseNumber_20190604_slice7,nBurstsInOsc_20190606_slice1,phaseNumber_20190606_slice1,nBurstsInOsc_20190606_slice2,phaseNumber_20190606_slice2,nBurstsInOsc_20190606_slice3,phaseNumber_20190606_slice3,nBurstsInOsc_20190607_slice4,phaseNumber_20190607_slice4
-20 min,33,1,14,1,27,1,27,1,14,1,18,1,19,1,30,1,17,1,12,1
-19 min,35,1,11,1,20,1,21,1,27,1,17,1,20,1,29,1,31,1,16,1
-18 min,33,1,14,1,20,1,31,1,22,1,22,1,21,1,25,1,22,1,13,1
-17 min,38,1,13,1,17,1,24,1,29,1,19,1,23,1,27,1,22,1,13,1
-16 min,30,1,12,1,27,1,31,1,29,1,21,1,45,1,25,1,31,1,15,1
-15 min,36,1,11,1,24,1,21,1,31,1,26,1,22,1,29,1,21,1,16,1
-14 min,41,1,11,1,24,1,7,1,28,1,18,1,18,1,28,1,19,1,13,1
-13 min,34,1,12,1,28,1,30,1,35,1,24,1,20,1,22,1,23,1,18,1
-12 min,29,1,10,1,29,1,28,1,26,1,23,1,25,1,26,1,23,1,22,1
-11 min,24,1,11,1,20,1,23,1,42,1,21,1,19,1,22,1,21,1,15,1
-10 min,31,1,10,1,28,1,18,1,21,1,19,1,22,1,26,1,34,1,29,1
-9 min,33,1,9,1,21,1,39,1,28,1,21,1,19,1,25,1,20,1,26,1
-8 min,22,1,11,1,22,1,19,1,22,1,23,1,25,1,24,1,18,1,28,1
-7 min,32,1,15,1,31,1,21,1,27,1,16,1,13,1,24,1,16,1,22,1
-6 min,35,1,11,1,22,1,29,1,18,1,15,1,15,1,18,1,17,1,27,1
-5 min,31,1,15,1,31,1,21,1,21,1,19,1,24,1,21,1,24,1,23,1
-4 min,25,1,10,1,30,1,20,1,24,1,21,1,19,1,27,1,16,1,22,1
-3 min,28,1,10,1,24,1,26,1,32,1,17,1,16,1,23,1,24,1,23,1
-2 min,30,1,9,1,24,1,20,1,22,1,15,1,22,1,22,1,22,1,32,1
-1 min,28,1,14,1,25,1,23,1,27,1,20,1,14,1,20,1,23,1,33,1
0 min,29,2,10,2,21,2,19,2,22,2,17,2,19,2,21,2,25,2,21,2
1 min,27,2,12,2,23,2,23,2,22,2,19,2,23,2,24,2,20,2,23,2
2 min,30,2,18,2,26,2,21,2,17,2,16,2,20,2,22,2,27,2,25,2
3 min,28,2,16,2,20,2,16,2,21,2,17,2,14,2,20,2,19,2,30,2
4 min,34,2,10,2,20,2,22,2,27,2,19,2,19,2,26,2,22,2,27,2
5 min,33,2,15,2,2,2,16,2,23,2,16,2,22,2,25,2,14,2,20,2
6 min,25,2,10,2,28,2,24,2,11,2,15,2,24,2,25,2,28,2,25,2
7 min,25,2,12,2,26,2,20,2,16,2,15,2,14,2,24,2,18,2,22,2
8 min,25,2,15,2,32,2,17,2,17,2,16,2,21,2,23,2,13,2,20,2
9 min,31,2,10,2,29,2,16,2,26,2,10,2,15,2,25,2,21,2,23,2
10 min,18,2,13,2,19,2,20,2,21,2,12,2,15,2,28,2,18,2,32,2
11 min,18,2,13,2,26,2,21,2,24,2,14,2,17,2,20,2,26,2,24,2
12 min,24,2,10,2,26,2,9,2,20,2,19,2,21,2,23,2,14,2,29,2
13 min,17,2,10,2,20,2,20,2,19,2,22,2,23,2,23,2,17,2,28,2
14 min,23,2,13,2,17,2,17,2,22,2,14,2,14,2,21,2,22,2,29,2
15 min,21,2,11,2,23,2,20,2,17,2,16,2,16,2,24,2,22,2,26,2
16 min,30,2,14,2,22,2,18,2,17,2,16,2,18,2,21,2,26,2,25,2
17 min,20,2,14,2,10,2,20,2,25,2,20,2,20,2,23,2,21,2,28,2
18 min,23,2,8,2,27,2,15,2,15,2,15,2,18,2,27,2,17,2,22,2
19 min,17,2,11,2,27,2,21,2,17,2,15,2,16,2,22,2,18,2,21,2
20 min,21,2,9,2,5,2,15,2,22,2,16,2,25,2,22,2,22,2,28,2
21 min,33,2,9,2,20,2,23,2,19,2,16,2,17,2,24,2,26,2,29,2
22 min,29,2,13,2,2,2,20,2,27,2,17,2,17,2,26,2,34,2,30,2
23 min,26,2,9,2,20,2,15,2,24,2,15,2,17,2,23,2,22,2,25,2
24 min,19,2,10,2,18,2,20,2,11,2,15,2,20,2,22,2,22,2,22,2
25 min,30,2,7,2,19,2,18,2,17,2,21,2,15,2,22,2,32,2,24,2
26 min,26,2,11,2,25,2,15,2,15,2,13,2,19,2,23,2,24,2,27,2
27 min,21,2,14,2,26,2,14,2,22,2,15,2,15,2,23,2,16,2,32,2
28 min,24,2,9,2,24,2,19,2,22,2,16,2,14,2,25,2,26,2,23,2
29 min,31,2,11,2,20,2,19,2,14,2,12,2,16,2,17,2,16,2,29,2
30 min,23,3,10,3,24,3,14,3,17,3,13,3,14,3,19,3,21,3,27,3
31 min,32,3,8,3,18,3,19,3,19,3,14,3,18,3,22,3,17,3,22,3
32 min,23,3,5,3,6,3,18,3,18,3,12,3,12,3,22,3,26,3,20,3
33 min,27,3,7,3,22,3,19,3,18,3,14,3,15,3,22,3,25,3,23,3
34 min,36,3,8,3,24,3,21,3,10,3,12,3,17,3,21,3,20,3,29,3
35 min,32,3,7,3,10,3,16,3,32,3,15,3,13,3,26,3,18,3,26,3
36 min,23,3,4,3,22,3,11,3,17,3,14,3,15,3,25,3,17,3,26,3
37 min,19,3,15,3,14,3,20,3,28,3,13,3,8,3,25,3,20,3,21,3
38 min,21,3,9,3,22,3,13,3,16,3,15,3,22,3,18,3,22,3,21,3
39 min,24,3,6,3,9,3,15,3,25,3,11,3,18,3,23,3,18,3,19,3
40 min,26,3,12,3,18,3,17,3,18,3,16,3,10,3,0,3,19,3,24,3
41 min,21,3,7,3,19,3,14,3,20,3,15,3,13,3,3,3,13,3,23,3
42 min,34,3,9,3,21,3,18,3,21,3,15,3,8,3,7,3,21,3,21,3
43 min,21,3,11,3,15,3,21,3,17,3,12,3,14,3,13,3,23,3,29,3
44 min,29,3,7,3,19,3,18,3,24,3,10,3,12,3,19,3,15,3,24,3
45 min,28,3,8,3,22,3,15,3,14,3,13,3,9,3,30,3,21,3,20,3
46 min,25,3,8,3,12,3,12,3,16,3,9,3,10,3,33,3,24,3,24,3
47 min,31,3,9,3,18,3,9,3,17,3,11,3,10,3,27,3,19,3,22,3
48 min,21,3,8,3,23,3,2,3,17,3,15,3,8,3,28,3,24,3,28,3
49 min,36,3,7,3,18,3,3,3,27,3,15,3,10,3,37,3,20,3,24,3
